repository_owner,repository_uri,overall_score,quality_score,maintainability_score,popularity_score,style_errors_per_nloc,security_notes_per_nloc,security_warnings_per_nloc,security_errors_per_nloc,subscribers_count_by_age,stargazers_count_by_age,forks_count_by_age,average_cyclomatic_complexity_for_repo_pct
StarRocks_starrocks,https://github.com/StarRocks/starrocks,83.54,99.11,70.07,81.44,0.003,0.004,0.0,0.0,0.55,16.0,3.03,2.32
ApolloAuto_apollo,https://github.com/ApolloAuto/apollo,78.98,99.04,45.98,91.92,0.001,0.002,0.0,0.001,0.67,12.13,4.87,2.06
Qv2ray_Qv2ray,https://github.com/Qv2ray/Qv2ray,66.18,98.09,38.88,61.56,0.021,0.001,0.0,0.0,0.27,13.94,2.79,2.43
carla-simulator_carla,https://github.com/carla-simulator/carla,57.38,98.12,47.54,26.49,0.023,0.001,0.0,0.0,0.15,4.62,1.38,1.64
rethinkdb_rethinkdb,https://github.com/rethinkdb/rethinkdb,56.34,99.33,38.37,31.34,0.003,0.002,0.0,0.0,0.24,7.52,0.55,1.81
root-project_root,https://github.com/root-project/root,56.07,98.19,64.83,5.2,0.017,0.004,0.0,0.0,0.04,0.52,0.32,2.38
facebook_hhvm,https://github.com/facebook/hhvm,54.4,98.93,39.56,24.71,0.006,0.003,0.0,0.0,0.24,3.92,0.68,2.53
KratosMultiphysics_Kratos,https://github.com/KratosMultiphysics/Kratos,53.34,98.12,59.09,2.8,0.022,0.002,0.0,0.0,0.03,0.36,0.09,1.68
llvm_torch-mlir,https://github.com/llvm/torch-mlir,52.69,98.4,36.4,23.26,0.015,0.0,0.0,0.0,0.43,0.53,0.12,3.13
microsoft_AdaptiveCards,https://github.com/microsoft/AdaptiveCards,52.3,95.06,56.59,5.25,0.072,0.0,0.0,0.0,0.05,0.6,0.23,1.32
minetest_minetest,https://github.com/minetest/minetest,52.07,98.6,47.51,10.09,0.013,0.002,0.0,0.0,0.08,1.71,0.38,2.19
